t (d),Precipitation (cm/d),Irrigation (cm/d),ET0 (cm/d),top_BC (cm),bot_BC (cm),Contaminated_water_flux (cm/d),PFAS_mass_flux (mg/d/cm^2)
396,0,0,0.002749549,-999999.99,-999999.99,0,0
397,0,0,0.005067876,-999999.99,-999999.99,0,0
398,0,0,0.007911035,-999999.99,-999999.99,0,0
399,0,0,0.011190603,-999999.99,-999999.99,0,0
400,0.343,0,0.008270508,-999999.99,-999999.99,0,0
401,0.241,0,0.009816253,-999999.99,-999999.99,0,0
402,0.114,0,0.007207864,-999999.99,-999999.99,0,0
403,0,0,0.006693553,-999999.99,-999999.99,0,0
404,0,0,0.007985577,-999999.99,-999999.99,0,0
405,0,0,0.013770415,-999999.99,-999999.99,0,0
406,0.229,0,0.017242971,-999999.99,-999999.99,0,0
407,0.711,0,0.010101049,-999999.99,-999999.99,0,0
408,0.774,0,0.010598815,-999999.99,-999999.99,0,0
409,0,0,0.008374519,-999999.99,-999999.99,0,0
410,0,0,0.002524426,-999999.99,-999999.99,0,0
411,0,0,0.001996653,-999999.99,-999999.99,0,0
412,0,0,0.008076355,-999999.99,-999999.99,0,0
413,0.025,0,0.012194934,-999999.99,-999999.99,0,0
414,0,0,0.099081767,-999999.99,-999999.99,0,0
415,0.279,0,0.047645384,-999999.99,-999999.99,0,0
416,0,0,0.030540292,-999999.99,-999999.99,0,0
417,0,0,0.024727554,-999999.99,-999999.99,0,0
418,0.051,0,0.021576058,-999999.99,-999999.99,0,0
419,0,0,0.000286067,-999999.99,-999999.99,0,0
420,0,0,0.008470389,-999999.99,-999999.99,0,0
421,0,0,0.015918749,-999999.99,-999999.99,0,0
422,0.025,0,0.007416511,-999999.99,-999999.99,0,0
423,0,0,0.006287012,-999999.99,-999999.99,0,0
424,0,0,-0.00118003,-999999.99,-999999.99,0,0
425,0,0,0.010657353,-999999.99,-999999.99,0,0
426,0,0,0.015481993,-999999.99,-999999.99,0,0
427,0,0,0.002959342,-999999.99,-999999.99,0,0
428,0,0,0.010347128,-999999.99,-999999.99,0,0
429,0.114,0,0.008836169,-999999.99,-999999.99,0,0
430,0.025,0,0.009290327,-999999.99,-999999.99,0,0
